Time,GeoType,GeoID,GeoRank,Geography,Density
2014,UHF42,101,4,Kingsbridge - Riverdale,0.33027
2014,UHF42,102,4,Northeast Bronx,0.4744
2014,UHF42,103,4,Fordham - Bronx Pk,1.10993
2014,UHF42,104,4,Pelham - Throgs Neck,0.35294
2014,UHF42,105,4,Crotona -Tremont,0.92035
2014,UHF42,106,4,High Bridge - Morrisania,1.25721
2014,UHF42,107,4,Hunts Point - Mott Haven,1.13898
2014,UHF42,201,4,Greenpoint,0.98047
2014,UHF42,202,4,Downtown - Heights - Slope,1.70631
2014,UHF42,203,4,Bedford Stuyvesant - Crown Heights,1.81382
2014,UHF42,204,4,East New York,1.31731
2014,UHF42,205,4,Sunset Park,0.69832
2014,UHF42,206,4,Borough Park,1.31514
2014,UHF42,207,4,East Flatbush - Flatbush,0.89933
2014,UHF42,208,4,Canarsie - Flatlands,0.06415
2014,UHF42,209,4,Bensonhurst - Bay Ridge,0.74038
2014,UHF42,210,4,Coney Island - Sheepshead Bay,0.74627
2014,UHF42,211,4,Williamsburg - Bushwick,1.79359
2014,UHF42,301,4,Washington Heights,1.99034
2014,UHF42,302,4,Central Harlem - Morningside Heights,2.27523
2014,UHF42,303,4,East Harlem,0.86687
2014,UHF42,304,4,Upper West Side,1.69873
2014,UHF42,305,4,Upper East Side,1.19908
2014,UHF42,306,4,Chelsea - Clinton,4.12274
2014,UHF42,307,4,Gramercy Park - Murray Hill,2.93778
2014,UHF42,308,4,Greenwich Village - SoHo,4.05454
2014,UHF42,309,4,Union Square - Lower East Side,2.4492
2014,UHF42,310,4,Lower Manhattan,6.3203
2014,UHF42,401,4,Long Island City - Astoria,1.20941
2014,UHF42,402,4,West Queens,0.52706
2014,UHF42,403,4,Flushing - Clearview,0.03022
2014,UHF42,404,4,Bayside - Little Neck,0
2014,UHF42,405,4,Ridgewood - Forest Hills,0.40719
2014,UHF42,406,4,Fresh Meadows,0
2014,UHF42,407,4,Southwest Queens,0.59359
2014,UHF42,408,4,Jamaica,0.20751
2014,UHF42,409,4,Southeast Queens,0
2014,UHF42,410,4,Rockaways,0.46419
2014,UHF42,501,4,Port Richmond,0
2014,UHF42,502,4,Stapleton - St. George,0.24078
2014,UHF42,503,4,Willowbrook,0
2014,UHF42,504,4,South Beach - Tottenville,0.23232