Time,GeoType,GeoID,GeoRank,Geography,TrafficDensity
2016,UHF42,101,4,Kingsbridge - Riverdale,28.8
2016,UHF42,102,4,Northeast Bronx,17.1
2016,UHF42,103,4,Fordham - Bronx Pk,21.5
2016,UHF42,104,4,Pelham - Throgs Neck,23.9
2016,UHF42,105,4,Crotona -Tremont,36.4
2016,UHF42,106,4,High Bridge - Morrisania,31.8
2016,UHF42,107,4,Hunts Point - Mott Haven,20.2
2016,UHF42,201,4,Greenpoint,29.7
2016,UHF42,202,4,Downtown - Heights - Slope,39.7
2016,UHF42,203,4,Bedford Stuyvesant - Crown Heights,26.7
2016,UHF42,204,4,East New York,19.4
2016,UHF42,205,4,Sunset Park,26.1
2016,UHF42,206,4,Borough Park,25.6
2016,UHF42,207,4,East Flatbush - Flatbush,21
2016,UHF42,208,4,Canarsie - Flatlands,17.9
2016,UHF42,209,4,Bensonhurst - Bay Ridge,25.3
2016,UHF42,210,4,Coney Island - Sheepshead Bay,18.9
2016,UHF42,211,4,Williamsburg - Bushwick,17
2016,UHF42,301,4,Washington Heights,46.9
2016,UHF42,302,4,Central Harlem - Morningside Heights,39.4
2016,UHF42,303,4,East Harlem,59.7
2016,UHF42,304,4,Upper West Side,50.1
2016,UHF42,305,4,Upper East Side,52.2
2016,UHF42,306,4,Chelsea - Clinton,45.2
2016,UHF42,307,4,Gramercy Park - Murray Hill,68.6
2016,UHF42,308,4,Greenwich Village - SoHo,52.4
2016,UHF42,309,4,Union Square - Lower East Side,45.8
2016,UHF42,310,4,Lower Manhattan,36.3
2016,UHF42,401,4,Long Island City - Astoria,25.1
2016,UHF42,402,4,West Queens,44.4
2016,UHF42,403,4,Flushing - Clearview,21.1
2016,UHF42,404,4,Bayside - Little Neck,33.8
2016,UHF42,405,4,Ridgewood - Forest Hills,27.4
2016,UHF42,406,4,Fresh Meadows,36.2
2016,UHF42,407,4,Southwest Queens,24.9
2016,UHF42,408,4,Jamaica,20.6
2016,UHF42,409,4,Southeast Queens,28.2
2016,UHF42,410,4,Rockaways,6.7
2016,UHF42,501,4,Port Richmond,7
2016,UHF42,502,4,Stapleton - St. George,13.2
2016,UHF42,503,4,Willowbrook,13.4
2016,UHF42,504,4,South Beach - Tottenville,6.6